cas_actor1,cas_actor2,cas_actor3,cas_actor4,cas_actor5,cas_actor6,cas_actor7,cas_actor8,cas_actor9,cas_actor10,crew_Director,id
Sarah Jessica Parker,Elle Macpherson,Scarlett Johansson,Eric Schaeffer,Dominic Chianese,Emily Hart,Ben Stiller,,,,Eric Schaeffer,10324
Andy García,Alan Arkin,Rachel Ticotin,Joe Pantoliano,Ally Walker,David Ogden Stiers,Kevin McCarthy,Richard Bradford,Holland Taylor,,Andrew Davis,78406
,,,,,,,,,,Charles T. Kanganis,55731
Henry Czerny,Johnny Morina,Brian Dooley,Philip Dinn,Brian Dodd,,,,,,John N. Smith,32119
,,,,,,,,,,Reginald Hudlin,11066
,,,,,,,,,,Wong Kar-wai,11104
,,,,,,,,,,Giuseppe Tornatore,37975
,,,,,,,,,,David O. Russell,2074
,,,,,,,,,,Peter MacDonald,27793
Amel Hedhili,Najia Ouerghi,Fatima Ben Saïdane,Zahira Ben Ammar,Sabah Bouzouita,Hend Sabry,,,,,Moufida Tlatli,44284
Maggie Cogan,,,,,,,,,,Michel Negroponte,290157
Josh Charles,Anne Heche,John Goodman,Christine Lahti,Christine Ebersole,Peter Riegert,Dey Young,Bob Balaban,Wil Wheaton,,Bryan Gordon,110972
Miranda Rhyne,Charlotte Eve Blythe,Anna Levine,John Ventimiglia,Io Tillett Wright,,,,,,Rebecca Miller,32622
Matt Dillon,Corban Walker,Gabriel Byrne,Anne Parillaud,Niall Toibin,Owen Roe,Colin Farrell,,,,Michael Lindsay-Hogg,73067
,,,,,,,,,,William Friedkin,11863
,,,,,,,,,,Ángel Muñiz,55475
,,,,,,,,,,Craig Baldwin,124636
,,,,,,,,,,David S. Ward,9101
Jean Seberg,Mary Beth Hurt,,,,,,,,,Mark Rappaport,123360
,,,,,,,,,,Dirk Shafer,5757
,,,,,,,,,,Terence Davies,39428
,,,,,,,,,,Sandip Ray,124639
,,,,,,,,,,Jon Avnet,9302
Robin Williams,Gene Hackman,Nathan Lane,Dianne Wiest,Grant Heslov,Hank Azaria,Dan Futterman,Calista Flockhart,Christine Baranski,Tom McGowan,Mike Nichols,11000
Martin Sheen,Michael York,Morgan Fairchild,Paul Guilfoyle,George Coe,,,,,,Jakov Sedlar,249882
Shari Albert,Maxine Bahns,Catharine Bolz,Connie Britton,Edward Burns,Peter Johansen,Jennifer Jostyn,Michael McGlone,Elizabeth McKay,Jack Mulcahy,Edward Burns,16388
,,,,,,,,,,Michael Bay,9737
Stephen Lang,Ryan Slater,Yi Ding,Brian Wagner,Isabella Hofmann,,,,,,Christopher Cain,30765
,,,,,,,,,,Scott Kalvert,10474
,,,,,,,,,,Mike Newell,22279
,,,,,,,,,,Hal Hartley,30157
,,,,,,,,,,Ron Howard,568
,,,,,,,,,,Michael Caton-Jones,11780
Lili Taylor,Christopher Walken,Annabella Sciorra,Edie Falco,Michael Imperioli,Paul Calderon,,,,,Abel Ferrara,34996
,,,,,,,,,,Joel Schumacher,414
,,,,,,,,,,Luis Buñuel,649
,,,,,,,,,,John Boorman,1873
,,,,,,,,,,Wayne Wang,5894
,,,,,,,,,,Michael Moore,1775
,,,,,,,,,,Brad Silberling,8839
,,,,,,,,,,Spike Lee,20649
,,,,,,,,,,Frank Marshall,10329
,,,,,,,,,,Tony Scott,8963
Robert Crumb,Aline Kominsky,Charles Crumb,Maxon Crumb,Martin Muller,Robert Hughes,,,,,Terry Zwigoff,26564
,,,,,,,,,,Robert Rodriguez,8068
,,,,,,,,,,Carl Franklin,8512
,,,,,,,,,,John McTiernan,1572
,,,,,,,,,,Gregg Araki,13552
Embeth Davidtz,Tom Bell,Gemma Jones,James Purefoy,Ben Chaplin,Kenneth Anderson,Greg Wise,,,,Christopher Menaul,259209
,,,,,,,,,,Jerry Zucker,6520
Jason James Richter,Michael Madsen,Jayne Atkinson,August Schellenberg,Mary Kate Schellhardt,Francis Capra,Mykelti Williamson,Elizabeth Peña,Jon Tenney,M. Emmet Walsh,Dwight H. Little,9073
,,,,,,,,,,Iain Softley,10428
,,,,,,,,,,Christopher Ashley,17447
,,,,,,,,,,Robert Longo,9886
,,,,,,,,,,Danny Cannon,9482
,,,,,,,,,,John Fortenberry,19326
,,,,,,,,,,Larry Clark,9344
Steve Buscemi,Catherine Keener,Dermot Mulroney,James Le Gros,Peter Dinklage,Danielle von Zerneck,Rica Martens,Kevin Corrigan,Robert Wightman,,Tom DiCillo,9071
,,,,,,,,,,Clive Barker,8973
,,,,,,,,,,Denys Arcand,15730
,,,,,,,,,,Antonia Bird,47608
,,,,,,,,,,Kevin Smith,2293
,,,,,,,,,,Bryan Spicer,9070
Elizabeth Perkins,Gwyneth Paltrow,Kathleen Turner,Whoopi Goldberg,Jon Bon Jovi,Shadia Simmons,Erica Luttrell,,,,David Anspaugh,68274
,,,,,,,,,,Anthony Waller,48787
Elina Löwensohn,Peter Fonda,David Lynch,Suzy Amis,Jared Harris,Martin Donovan,,,,,Michael Almereyda,34574
,,,,,,,,,,Irwin Winkler,1642
,,,,,,,,,,Chris Columbus,11472
Parker Posey,Liev Schreiber,Anthony DeSando,Guillermo Díaz,Donna Mitchell,Sasha von Scherler,Richard Topol,Simon Verhoeven,,,Daisy von Scherler Mayer,36196
Christopher Walken,Elias Koteas,Virginia Madsen,Eric Stoltz,Adam Goldberg,Viggo Mortensen,Amanda Plummer,Shawn Nelson,Emily Conforto,,Gregory Widen,11980
Mia Farrow,Tony Goldwyn,Scott Glenn,Mary-Louise Parker,,,,,,,Norman René,58372
,,,,,,,,,,Todd Haynes,32646
,,,,,,,,,,Roland Joffé,10533
Kurtis Blow,Sean Combs,Snoop Dogg,Dr. Dre,Warren G.,Method Man,The Notorious B.I.G.,Slick Rick,,,,56088
,,,,,,,,,,Paul Verhoeven,10802
,,,,,,,,,,Paul Auster,10149
,,,,,,,,,,Lasse Hallström,18402
,,,,,,,,,,Roger Donaldson,9348
Robert Duvall,Aidan Quinn,Frances Fisher,Brian Dennehy,Lexi Randall,Kaytlyn Knowles,Francesca Eastwood,Joe Stevens,Billy Bob Thornton,Victor Wong,James Keach,139408
,,,,,,,,,,Kathryn Bigelow,281
Catherine Deneuve,Nino Castelnuovo,Anne Vernon,Mireille Perrey,Marc Michel,Ellen Farner,Jean Champion,Pierre Caden,Jean-Pierre Dorat,,Jacques Demy,5967
,,,,,,,,,,Wesley Strick,79593
,,,,,,,,,,Martha Coolidge,47939
,,,,,,,,,,Agnieszka Holland,36834
,,,,,,,,,,Beeban Kidron,9090
,,,,,,,,,,Geoff Murphy,3512
Andie MacDowell,John Turturro,Michael Richards,Nathan Watt,Maury Chaykin,,,,,,Diane Keaton,52856
Sandra Bernhard,Isaac Mizrahi,Naomi Campbell,John Galliano,Kate Moss,Linda Evangelista,Cindy Crawford,,,,Douglas Keeve,77350
Keanu Reeves,Aitana Sánchez-Gijón,Anthony Quinn,Angélica Aragón,Evangelina Elizondo,Debra Messing,Giancarlo Giannini,Freddy Rodríguez,,,Alfonso Aráu,9560
,,,,,,,,,,Kevin Reynolds,9804
John Travolta,Harry Belafonte,Kelly Lynch,Margaret Avery,Tom Bower,,,,,,Desmond Nakano,31611
,,,,,,,,,,Walter Hill,65796
,,,,,,,,,,Mike Figgis,49805
Daniel Stern,Jon Polito,Brad Sullivan,Ann Dowd,Anthony Heald,Tom Wood,Blake Bashoff,Corey Carrier,Michael Galeota,Max Goldblatt,Greg Beeman,26258
Nikita Mikhalkov,Oleg Menshikov,Ingeborga Dapkunaite,Vyacheslav Tikhonov,Nadezhda Mikhalkova,André Oumansky,,,,,Nikita Mikhalkov,50797
,,,,,,,,,,Milčo Mančevski,19155
,,,,,,,,,,Richard Linklater,76
,,,,,,,,,,Tamra Davis,11017
Alicia Silverstone,Jeremy London,J.T. Walsh,Nicky Katt,Lee Garlington,George Segal,Ryan Slater,Lois Chiles,,,Guy Ferland,37141
Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Matthew McConaughey,James Remar,Billy Wirth,,,,,Herbert Ross,9382
Brad Renfro,Joseph Mazzello,Annabella Sciorra,Nicky Katt,Diana Scarwid,Aeryk Egan,Peter Moore,,,,Peter Horton,6715
,,,,,,,,,,Stuart Gordon,18256
Chris O'Donnell,Minnie Driver,Geraldine O'Rawe,Saffron Burrows,Alan Cumming,Colin Firth,Aidan Gillen,John Kavanagh,Ciarán Hinds,Tony Doyle,Pat O'Connor,22625
,,,,,,,,,,Kevin Smith,2292
,,,,,,,,,,Jeremy Leven,1909
,,,,,,,,,,Barry Levinson,8984
Patsy Kensit,Bruce Greenwood,Andrew McCarthy,Denise Crosby,Armin Shimerman,Jim Byrnes,Jay Brazeau,John Cassini,,,René Bonnière,61813
Wesley Snipes,Gary Busey,Yancy Butler,Michael Jeter,Corin Nemec,Kyle Secor,Luca Bercovici,Malcolm-Jamal Warner,,,John Badham,4954
Dylan McDermott,Nancy Travis,James Le Gros,Quentin Tarantino,Jim Belushi,,,,,,Jack Baran,62488
,,,,,,,,,,Roman Polanski,10531
Kathy Bates,Jennifer Jason Leigh,Judy Parfitt,Christopher Plummer,David Strathairn,John C. Reilly,Eric Bogosian,Ellen Muth,Bob Gunton,,Taylor Hackford,11929
,,,,,,,,,,Bobby Farrelly,8467
,,,,,,,,,,Ang Lee,10451
,,,,,,,,,,Atom Egoyan,20156
,,,,,,,,,,Garry Marshall,18395
,,,,,,,,,,Tim Burton,522
Meg Ryan,Kevin Kline,Timothy Hutton,Jean Reno,Adam Brooks,François Cluzet,Suzan Anbeh,Renée Humphrey,,,Lawrence Kasdan,397
,,,,,,,,,,Billy Crystal,10525
,,,,,,,,,,Phillip Borsos,27985
,,,,,,,,,,Paul Brizzi,15789
Jeff Goldblum,Christine Lahti,Alicia Silverstone,Jeremy Sisto,Alfred Molina,Rae Dawn Chong,Kenneth Welsh,,,,Brett Leonard,27303
,,,,,,,,,,Carlo Carlei,21183
Stefano Dionisi,Enrico Lo Verso,Elsa Zylberstein,Jeroen Krabbé,Caroline Cellier,,,,,,Gérard Corbiau,10954
Ted Manson,Afemo Omilami,,,,,,,,,Mark Lewis,47867
,,,,,,,,,,Art Clokey,43475
,,,,,,,,,,Charles Burnett,72031
William Gates,Arthur Agee,Steve James,,,,,,,,Steve James,14275
,,,,,,,,,,Peter Jackson,1024
Sinbad,Phil Hartman,Jeffrey Jones,Kim Greist,Mason Adams,Chauncey Leopardi,Kim Murphy,Tony Longo,,,Randall Miller,17207
,,,,,,,,,,Bernard Rose,13701
,,,,,,,,,,Steven Brill,14819
Christopher Lambert,John Lone,Joan Chen,Yoshio Harada,Yoko Shimada,Mari Natsuki,Tak Kubota,Masumi Okada,Toshishiro Obata,,J. F. Lawton,32631
,,,,,,,,,,Fred Schepisi,11777
,,,,,,,,,,Neil Jordan,628
,,,,,,,,,,James Ivory,87729
John G. Brennan,Kamal Ahmed,Alan Arkin,William Hickey,Vincent Pastore,Alan North,Suzanne Shepherd,Peter Appel,Ozzy Osbourne,,James Melkonian,18713
,,,,,,,,,,Ivan Reitman,6280
,,,,,,,,,,Arne Glimcher,9061
Thomas Ian Nicholas,Joss Ackland,Art Malik,Daniel Craig,Kate Winslet,Paloma Baeza,,,,,Michael Gottlieb,37108
David Caruso,Samuel L. Jackson,Nicolas Cage,Helen Hunt,Kathryn Erbe,Stanley Tucci,Michael Rapaport,Ving Rhames,Philip Baker Hall,Anthony Heald,Barbet Schroeder,6071
,,,,,,,,,,George Lucas,11
Winona Ryder,Gabriel Byrne,Trini Alvarado,Samantha Mathis,Kirsten Dunst,Claire Danes,Christian Bale,Eric Stoltz,Susan Sarandon,John Neville,Gillian Armstrong,9587
Liesel Matthews,Eleanor Bron,Liam Cunningham,Rusty Schwimmer,Vanessa Lee Chester,Rachael Bella,Camilla Belle,Kelsey Mulrooney,Lauren Blumenfeld,,Alfonso Cuarón,19101
,,,,,,,,,,Ken Loach,49980
Emmanuelle Béart,François Cluzet,Nathalie Cardone,André Wilms,Marc Lavoine,Christiane Minazzoli,Dora Doll,Mario David,Jean-Pierre Cassel,,Claude Chabrol,17961
,,,,,,,,,,Alfonso Aráu,18183
,,,,,,,,,,Edward Zwick,4476
,,,,,,,,,,Nick Castle,11008
Edward Furlong,Tim Roth,Moira Kelly,Vanessa Redgrave,Maximilian Schell,Paul Guilfoyle,David Vadim,,,,James Gray,47504
Angel Aviles,Seidy López,Jacob Vargas,Salma Hayek,Danny Trejo,Spike Jonze,Jason Lee,Los Lobos,,,Allison Anders,32325
,,,,,,,,,,Glenn Gordon Caron,43742
Jessica Lange,Halle Berry,David Strathairn,Samuel L. Jackson,Cuba Gooding Jr.,Daisy Eagan,Marc John Jefferies,Joie Lee,Regina Taylor,LaTanya Richardson Jackson,Stephen Gyllenhaal,28313
,,,,,,,,,,Nicholas Hytner,11318
,,,,,,,,,,Kenneth Branagh,3036
,,,,,,,,,,James Orr,40490
,,,,,,,,,,Nora Ephron,24070
Melanie Griffith,Ed Harris,Michael Patrick Carter,Malcolm McDowell,Anne Heche,Casey Siemaszko,Philip Bosco,Adam LaVorgna,Brian Christopher,,Richard Benjamin,8986
Richard Attenborough,Elizabeth Perkins,Dylan McDermott,J.T. Walsh,James Remar,Jane Leeves,Mara Wilson,Jennifer Morrison,Joss Ackland,,Les Mayfield,10510
Sarah Jessica Parker,Antonio Banderas,Mia Farrow,Gil Bellows,Kevin Pollak,Carla Gugino,,,,,David Frankel,17402
Edward James Olmos,Jimmy Smits,Esai Morales,Jennifer Lopez,Jacob Vargas,Constance Marie,Jonathan Hernandez,Jenny Gago,Eduardo López Rojas,Rafael Cortés,Gregory Nava,38722
Christian Slater,Kevin Bacon,Gary Oldman,Embeth Davidtz,William H. Macy,Stephen Tobolowsky,Brad Dourif,Kyra Sedgwick,Mia Kirshner,,Marc Rocco,8438
,,,,,,,,,,Robert Benton,11593
,,,,,,,,,,Michael Apted,1945
Sharron Corley,Donald Faison,Christine Baranski,Gabriel Casseus,Heavy D,Roscoe Orman,Saul Stein,Michele Morgan,,,Nick Gomez,39310
,,,,,,,,,,Tōru Murakawa,109560
Elizabeth Hurley,Craig Fairbrass,Keith Allen,Jesse Birdsall,Craig Kelly,Anita Dobson,,,,,Vadim Jean,56428
Sue Price,Chad Stahelski,Tina Cote,Earl White,Jahi J.J. Zuri,Karen Studer,Shelton Baily,Jon H. Epstein,Sharon Bruneau,Debbie Muggli,Albert Pyun,63105
Laura San Giacomo,Michael O'Keefe,Paul Rhys,Cristi Conaway,Fisher Stevens,,,,,,Alan Jacobs,131957
,,,,,,,,,,Oliver Stone,241
Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,Joaquim de Almeida,Fisher Stevens,Billy Zane,Siobhan Fallon,Adam LeFevre,,,Norman Jewison,9058
,,,,,,,,,,Lee Tamahori,527
Alyssa Milano,Johnathon Schaech,Xander Berkeley,Belinda Bauer,Camilla Belle,Kathryne Dora Brown,Walter Kim,Kate Rodger,,,Anne Goursaud,18220
,,,,,,,,,,Wolfgang Petersen,6950
,,,,,,,,,,Luc Besson,101
Marisa Tomei,Alfred Molina,Anjelica Huston,Chazz Palminteri,Trini Alvarado,Ruben Rabasa,Luis Raúl,,,,Mira Nair,63020
William Baldwin,John Leguizamo,Эрика Элениак,Michael Lerner,Armin Mueller-Stahl,Joan Plowright,Mike Starr,Julio Oscar Mechoso,Sadie Frost,,Joshua Brand,2307
,,,,,,,,,,Quentin Tarantino,680
,,,,,,,,,,Mario Van Peebles,41478
Sihung Lung,Wang Lai,Bo Z. Wang,Deb Snyder,Fanny De Luz,Haan Lee,Wang Hung-Chang ,Jeanne Kuo Chang,James Lou,,Ang Lee,25296
,,,,,,,,,,Antonia Bird,40156
,,,,,,,,,,Robert Redford,11450
Youki Kudoh,Akira Takayama,Tamlyn Tomita,Cary-Hiroyuki Tagawa,Toshirō Mifune,Yôko Sugi,Christianne Mays,,,,Kayo Hatta,30304
,,,,,,,,,,Patrice Chéreau,10452
,,,,,,,,,,Sam Raimi,12106
Peter Falk,D. B. Sweeney,Julianne Moore,Ellen Burstyn,Jan Rubes,Ernie Sabella,,,,,Peter Yates,161495
,,,,,,,,,,Robert Altman,3586
Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,Frédérique Feder,Samuel Le Bihan,Marion Stalens,Zbigniew Zamachowski,Juliette Binoche,Julie Delpy,Benoît Régent,Krzysztof Kieślowski,110
,,,,,,,,,,Krzysztof Kieślowski,108
Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr,Aleksander Bardini,Grzegorz Warchol,Cezary Harasimowicz,Jerzy Nowak,Philippe Morier-Genoud,Juliette Binoche,Krzysztof Kieślowski,109
Ning Jing,Wu Gang,,,,,,,,,He Ping,159185
Leslie Nielsen,Christopher Lloyd,Matt McCoy,Sherry Miller,Amos Crawley,,,,,,Fred Gerber,36357
Darlanne Fluegel,James Brolin,Martin Neufeld,Denise Crosby,M. Emmet Walsh,Matthew Dupuis,Bruce Dinsmore,Linda Sorensen,Vlasta Vrána,Linda Singer,George Mihalka,92769
Al Franken,Laura San Giacomo,Vincent D'Onofrio,Shirley Knight,Harris Yulin,Lesley Boone,John Link Graney,Julia Sweeney,Phil Hartman,,Harold Ramis,28033
,,,,,,,,,,Richard Rich,22586
Jeni Courtney,Eileen Colgan,Mick Lally,John Lynch,Pat Slowey,Dave Duffy,Declan Hannigan,,,,John Sayles,14334
,,,,,,,,,,Luis Llosa,2636
,,,,,,,,,,Roland Emmerich,2164
,,,,,,,,,,John Pasquin,11395
,,,,,,,,,,Frank Darabont,278
,,,,,,,,,,Danny Boyle,9905
Dennis Haysbert,Michael Harris,Mel Harris,Dina Merrill,Sab Shimono,David Graf,Fran Ryan,John Ingle,,,David Siegel,87078
,,,,,,,,,,Juan Carlos Tabío,12527
Kevin Spacey,Frank Whaley,Michelle Forbes,Benicio del Toro,T.E. Russell,Roy Dotrice,Matthew Flint,Patrick Fischler,Jerry Levine,,George Huang,20306
,,,,,,,,,,Geoff Burton,36614
,,,,,,,,,,Kelly Makin,27993
,,,,,,,,,,Zhang Yimou,31439
,,,,,,,,,,Rachel Talalay,9067
,,,,,,,,,,Ernest R. Dickerson,9059
,,,,,,,,,,David Carson,193
,,,,,,,,,,Rusty Cundieff,25066
,,,,,,,,,,Brian Gilbert,46797
,,,,,,,,,,John Carpenter,12122
Chris Farley,David Spade,Brian Dennehy,Bo Derek,Julie Warner,Dan Aykroyd,Rob Lowe,Sean McCann,Zach Grenier,James Blendick,Peter Segal,11381
